rule_id,source,table,category,drug_class,example_drugs,practice_statement_verbatim
MALPIP-S3-GI-04,MALPIP,S3 (Disease-specific PIM list),Gastrointestinal system,Diuretics,,May cause short-term constipation due to initial fluid loss
MALPIP-S3-GU-01,MALPIP,S3 (Disease-specific PIM list),Genitourinary system,"Non-COX-2 selective NSAIDs, COX-2 selective NSAIDs, glibenclamide, digoxin, dabigatran, metformin, oral bisphosphonates, colchicine, thiazide, factor Xa inhibitors, donepezil, memantine, cimetidine, ciprofloxacin, gabapentin, PPI, ACEI, ARBs, warfarin, allopurinol, opioids, aminoglycosides, amphotericin B, vancomycin, acyclovir, clopidogrel, ticlopidine",,This list is not exclusive. Review the nephrotoxicity of other medications before initiation. 
MALPIP-S3-GU-02,MALPIP,S3 (Disease-specific PIM list),Genitourinary system,"Strong anticholinergic drugs, tricyclic antidepressants, antimuscarinic bronchodilators (e.g. ipratropium, tiotropium)",,Increase risk of urinary retention
MALPIP-S3-GU-03,MALPIP,S3 (Disease-specific PIM list),Genitourinary system,"Non-selective alpha blockers, tricyclic antidepressants, diuretics",,May exacerbate incontinence
MALPIP-S3-RESP-01,MALPIP,S3 (Disease-specific PIM list),Respiratory system,Non-selective beta blockers,"Propranolol, labetalol, sotalol",May exacerbate asthma
MALPIP-S3-RESP-02,MALPIP,S3 (Disease-specific PIM list),Respiratory system,Benzodiazepine,,May exacerbate asthma and increase mortality
MALPIP-S3-RESP-03,MALPIP,S3 (Disease-specific PIM list),Respiratory system,Theophylline ,,Higher risk of toxicity in older adults. Do not use as first-line. Could be indicated in severe COPD.
MALPIP-S3-RESP-04,MALPIP,S3 (Disease-specific PIM list),Respiratory system,Non-selective beta-blockers,"Propranolol, labetalol, sotalol",Increase risk of severe exacerbations
MALPIP-S3-RESP-05,MALPIP,S3 (Disease-specific PIM list),Respiratory system,Benzodiazepines,"Alprazolam, bromazepam, clobazam, clonazepam, diazepam, lorazepam, midazolam, nitrazepam","Increase risk of respiratory failure, suicidal ideation and mortality"
MALPIP-S3-RESP-06,MALPIP,S3 (Disease-specific PIM list),Respiratory system,"Benzodiazepines, opioids, alcohol, cocaine, amphetamines",,Small dose of opioids could be useful in palliative care. 
MALPIP-S3-RESP-07,MALPIP,S3 (Disease-specific PIM list),Respiratory system,Benzodiazepines,"Alprazolam, bromazepam, clobazam, clonazepam, diazepam, lorazepam, midazolam, nitrazepam",Increase the frequency and duration of apnoea
MALPIP-S3-OTHER-01,MALPIP,S3 (Disease-specific PIM list),Other systems,"Tricyclic antidepressants, antimuscarinic bronchodilators, strongly anticholinergic drugs, Urological spasmolytic (e.g. oxybutynin)",,Increase intraocular pressure due to anticholinergic effects
MALPIP-S3-OTHER-02,MALPIP,S3 (Disease-specific PIM list),Other systems,Systemic corticosteroids (except intra-articular),,"Short-term benefit in reducing pain and improve functioning. Multiple adverse events if used long-term, including altered glucose level and reduced immunity"
MALPIP-S3-OTHER-03,MALPIP,S3 (Disease-specific PIM list),Other systems,High dose calcium supplements,,"Long term use of over 2 grams daily may cause toxicity such as hypercalcemia, renal calculi, hypophosphatemia, and nephrotoxicity, especially with individuals with chronic kidney disease."
MALPIP-S3-OTHER-04,MALPIP,S3 (Disease-specific PIM list),Other systems,NSAIDs,,"Assess patient's risk profile, routine evaluation of treatment response. Avoid long term use, use non-pharmacological or topical NSAIDs whenever possible."
MALPIP-S3-OTHER-05,MALPIP,S3 (Disease-specific PIM list),Other systems,Eperisone,,Lack of efficacy evidence  
MALPIP-S3-OTHER-06,MALPIP,S3 (Disease-specific PIM list),Other systems,"Opioids in chronic mild pain, long-acting opioids without short-acting opioids in breakthrough pain",,Use alternative analgesics in chronic mild pain. Short-acting opioids should be prescribed in breakthrough pain
MALPIP-S3-OTHER-07,MALPIP,S3 (Disease-specific PIM list),Other systems,Benzodiazepines,"Alprazolam, bromazepam, clobazam, clonazepam, diazepam, lorazepam, midazolam, nitrazepam",Significantly increased risk of emergency department visits
MALPIP-S3-OTHER-08,MALPIP,S3 (Disease-specific PIM list),Other systems,Tramadol,,"Increase risk of emergency department visits, falls/fractures, hospitalizations, and mortality"
MALPIP-S3-OTHER-09,MALPIP,S3 (Disease-specific PIM list),Other systems,Loop diuretics,"Furosemide, bumetanide",Increase risk of gout. Adequate hydration and routine uric acid level monitoring if initiated.
MALPIP-S3-OTHER-10,MALPIP,S3 (Disease-specific PIM list),Other systems,Colchicine,,"Diarrhoea is common. Use with caution and reduce dose in older adults with CrCl less than 30 mL/min due to increased risk of bone marrow toxicity, gastrointestinal and neuromuscular adverse events"
MALPIP-S3-OTHER-11,MALPIP,S3 (Disease-specific PIM list),Other systems,Beta blockers,,Increase risk of severe hypoglycaemia and cardiovascular events
MALPIP-S3-OTHER-12,MALPIP,S3 (Disease-specific PIM list),Other systems,Corticosteroids ,,Avoid >1 week without monitoring
MALPIP-S3-OTHER-13,MALPIP,S3 (Disease-specific PIM list),Other systems,"Olanzapine, quetiapine, risperidone",,Increase risk of diabetes
MALPIP-S3-OTHER-14,MALPIP,S3 (Disease-specific PIM list),Other systems,Oestrogens,,Increase risk of breast cancer relapse
MALPIP-S3-OTHER-15,MALPIP,S3 (Disease-specific PIM list),Other systems,Oestrogens,,Increase risk of venous thromboembolism  
